	Unnamed: 0	KO	Pathway_ko	Definition	Geneid
1156	1156	K02291	9109	Metabolism of terpenoids and polyketides	Cre16.g656600
1157	1157	K02291	9181	Protein families: metabolism	Cre05.g248550
1158	1158	K10881	9123	Folding, sorting and degradation	Cre06.g248850
1159	1159	K10881	9124	Replication and repair	Cre14.g629300
1160	1160	K10881	9172	Infectious diseases: Viral	Cre06.g249250
1161	1161	K10881	9182	Protein families: genetic information processing	Cre06.g249300
1162	1162	K10881	3051	Proteasome	Cre10.g461750
1163	1163	K10881	3400	DNA repair and recombination proteins	Cre12.g523050
1164	1164	K15193	9182	Protein families: genetic information processing	Cre06.g250200
1165	1165	K00995	9103	Lipid metabolism	Cre06.g250250
1166	1166	K17553	9181	Protein families: metabolism	Cre06.g250300
1167	1167	K00705	9101	Carbohydrate metabolism	Cre12.g521950
1168	1168	K03843	9107	Glycan biosynthesis and metabolism	Cre06.g250500
1169	1169	K03843	513	Various types of N-glycan biosynthesis	Cre06.g250750
1170	1170	K03843	9181	Protein families: metabolism	Cre06.g250800
1171	1171	K08824	9181	Protein families: metabolism	Cre06.g250902
1172	1172	K14820	9182	Protein families: genetic information processing	Cre06.g250950
1173	1173	K04564	9132	Signal transduction	Cre06.g251050
1174	1174	K04564	4068	FoxO signaling pathway	Cre06.g251100
1175	1175	K04564	9141	Transport and catabolism	Cre06.g251300
1176	1176	K04564	9149	Aging	Cre06.g251350
1177	1177	K04564	4212	Longevity regulating pathway - worm	Cre14.g629750
1178	1178	K04564	4213	Longevity regulating pathway - multiple species	Cre06.g251450
1179	1179	K04564	9164	Neurodegenerative diseases	Cre06.g251500
1180	1180	K06990	9183	Protein families: signaling and cellular processes	Cre06.g251600
1181	1181	K00273	9105	Amino acid metabolism	Cre06.g251650
1182	1182	K00273	330	Arginine and proline metabolism	Cre06.g251750
1183	1183	K00273	9106	Metabolism of other amino acids	Cre07.g337150
1184	1184	K00273	9110	Biosynthesis of other secondary metabolites	Cre17.g729800
1185	1185	K00273	9141	Transport and catabolism	Cre06.g251951
1186	1186	K18164	9159	Environmental adaptation	Cre06.g252000
1187	1187	K18164	9182	Protein families: genetic information processing	Cre06.g252401
1188	1188	K01464	9104	Nucleotide metabolism	Cre09.g386735
1189	1189	K01464	9106	Metabolism of other amino acids	Cre06.g252650
1190	1190	K01464	9108	Metabolism of cofactors and vitamins	Cre06.g252700
1191	1191	K01464	9111	Xenobiotics biodegradation and metabolism	Cre06.g253300
1192	1192	K01464	9183	Protein families: signaling and cellular processes	Cre06.g253350
1193	1193	K15436	9182	Protein families: genetic information processing	Cre06.g254150
1194	1194	K03263	9182	Protein families: genetic information processing	Cre06.g254400
1195	1195	K01633	9108	Metabolism of cofactors and vitamins	Cre06.g254450
1196	1196	K03036	9123	Folding, sorting and degradation	Cre06.g254650
1197	1197	K03036	9172	Infectious diseases: Viral	Cre06.g254700
1198	1198	K03036	9182	Protein families: genetic information processing	Cre06.g254800
1199	1199	K00811	9105	Amino acid metabolism	Cre06.g255350
1200	1200	K00811	270	Cysteine and methionine metabolism	Cre06.g255400
1201	1201	K00811	220	Arginine biosynthesis	Cre06.g255450
1202	1202	K00811	330	Arginine and proline metabolism	Cre06.g255950
1203	1203	K00811	350	Tyrosine metabolism	Cre06.g256200
1204	1204	K00811	360	Phenylalanine metabolism	Cre06.g256420
1205	1205	K00811	400	Phenylalanine, tyrosine and tryptophan biosynthesis	Cre06.g256750
1206	1206	K00811	9110	Biosynthesis of other secondary metabolites	Cre06.g257000
1207	1207	K00811	960	Tropane, piperidine and pyridine alkaloid biosynthesis	Cre17.g721500
1208	1208	K00811	9181	Protein families: metabolism	Cre06.g257150
1209	1209	K19355	9101	Carbohydrate metabolism	Cre06.g257250
1210	1210	K11547	9182	Protein families: genetic information processing	Cre06.g257450
1211	1211	K03242	9122	Translation	Cre12.g559250
1212	1212	K03242	9182	Protein families: genetic information processing	Cre15.g641200
1213	1213	K09586	9123	Folding, sorting and degradation	Cre17.g743897
1214	1214	K09586	9182	Protein families: genetic information processing	Cre06.g257900
1215	1215	K09586	4131	Membrane trafficking	Cre06.g257950
1216	1216	K00384	9106	Metabolism of other amino acids	Cre06.g294000
1217	1217	K08506	9123	Folding, sorting and degradation	Cre06.g258700
1218	1218	K08506	9182	Protein families: genetic information processing	Cre06.g258733
1219	1219	K08506	9123	Folding, sorting and degradation	Cre06.g259150
1220	1220	K08506	9182	Protein families: genetic information processing	Cre06.g259800
1221	1221	K10587	9123	Folding, sorting and degradation	Cre06.g259900
1222	1222	K10587	9161	Cancers: Overview	Cre16.g676900
1223	1223	K10587	9172	Infectious diseases: Viral	Cre06.g260200
1224	1224	K10587	9182	Protein families: genetic information processing	Cre06.g260450
1225	1225	K15296	9141	Transport and catabolism	Cre06.g260600
1226	1226	K15296	9156	Nervous system	Cre10.g448450
1227	1227	K15296	9182	Protein families: genetic information processing	Cre06.g260800
1228	1228	K06100	9122	Translation	Cre06.g260850
1229	1229	K06100	9144	Cellular community - eukaryotes	Cre06.g260950
1230	1230	K06100	9182	Protein families: genetic information processing	Cre06.g261000
1231	1231	K06100	3019	Messenger RNA biogenesis	Cre06.g261150
1232	1232	K00161	9101	Carbohydrate metabolism	Cre17.g722500
1233	1233	K00161	20	Citrate cycle (TCA cycle)\n	Cre06.g261450
1234	1234	K00161	620	Pyruvate metabolism	Cre06.g261700
1235	1235	K00161	9132	Signal transduction	Cre06.g261800
1236	1236	K00161	9152	Endocrine system	Cre06.g262050
1237	1237	K00161	9161	Cancers: Overview	Cre09.g396252
1238	1238	K10739	9124	Replication and repair	Cre06.g262250
1239	1239	K10739	3420	Nucleotide excision repair	Cre06.g262300
1240	1240	K10739	3430	Mismatch repair	Cre06.g262400
1241	1241	K10739	3440	Homologous recombination	Cre06.g262700
1242	1242	K10739	3460	Fanconi anemia pathway	Cre06.g262800
1243	1243	K10739	9182	Protein families: genetic information processing	Cre06.g262850
1244	1244	K10739	3400	DNA repair and recombination proteins	Cre12.g553250
1245	1245	K18211	9152	Endocrine system	Cre06.g263289
1246	1246	K18211	9156	Nervous system	Cre12.g498600
1247	1247	K18211	9182	Protein families: genetic information processing	Cre06.g263602
1248	1248	K02865	9122	Translation	Cre07.g342450
1249	1249	K02865	9182	Protein families: genetic information processing	Cre16.g663800
1250	1250	K04646	9141	Transport and catabolism	Cre06.g263950
1251	1251	K04646	4142	Lysosome	Cre06.g264200
1252	1252	K04646	9155	Excretory system	Cre09.g405200
1253	1253	K04646	9156	Nervous system	Cre06.g264450
1254	1254	K04646	9164	Neurodegenerative diseases	Cre06.g264500
1255	1255	K04646	9171	Infectious diseases: Bacterial	Cre17.g714600
1256	1256	K04646	9182	Protein families: genetic information processing	Cre17.g714650
1257	1257	K04646	9183	Protein families: signaling and cellular processes	Cre17.g714500
1258	1258	K16075	9183	Protein families: signaling and cellular processes	Cre17.g714550
1259	1259	K15033	9182	Protein families: genetic information processing	Cre17.g714550
1260	1260	K15332	9182	Protein families: genetic information processing	Cre17.g714500
1261	1261	K07950	9183	Protein families: signaling and cellular processes	Cre17.g714650
1262	1262	K02985	9122	Translation	Cre17.g714600
1263	1263	K02985	9182	Protein families: genetic information processing	Cre06.g265150
1264	1264	K08343	9141	Transport and catabolism	Cre17.g714600
1265	1265	K08343	4138	Autophagy - yeast	Cre17.g714650
1266	1266	K08343	4136	Autophagy - other	Cre17.g714500
1267	1267	K08343	9172	Infectious diseases: Viral	Cre17.g714550
1268	1268	K08343	9182	Protein families: genetic information processing	Cre17.g714600
1269	1269	K08343	4121	Ubiquitin system	Cre17.g714650
1270	1270	K08343	3029	Mitochondrial biogenesis	Cre19.g750597
1271	1271	K03019	9121	Transcription	Cre14.g621250
1272	1272	K03019	9151	Immune system	Cre13.g579150
1273	1273	K03019	9182	Protein families: genetic information processing	Cre06.g265900
1274	1274	K10870	9124	Replication and repair	Cre16.g685450
1275	1275	K10870	3460	Fanconi anemia pathway	Cre06.g266416
1276	1276	K10870	9182	Protein families: genetic information processing	Cre17.g714600
1277	1277	K03016	9121	Transcription	Cre17.g714650
1278	1278	K03016	9151	Immune system	Cre17.g714500
1279	1279	K03016	9164	Neurodegenerative diseases	Cre17.g714550
1280	1280	K03016	9182	Protein families: genetic information processing	Cre06.g267100
1281	1281	K03016	3400	DNA repair and recombination proteins	Cre06.g267150
1282	1282	K18999	9181	Protein families: metabolism	Cre07.g316600
1283	1283	K18999	9182	Protein families: genetic information processing	Cre06.g267500
1284	1284	K11165	9191	Unclassified: metabolism	Cre06.g267550
1285	1285	K04713	9103	Lipid metabolism	Cre06.g267600
1286	1286	K03236	9122	Translation	Cre06.g267800
1287	1287	K03236	9182	Protein families: genetic information processing	Cre17.g714650
1288	1288	K01693	9105	Amino acid metabolism	Cre17.g714600
1289	1289	K15175	9182	Protein families: genetic information processing	Cre17.g714500
1290	1290	K14573	9122	Translation	Cre17.g714550
1291	1291	K14573	9182	Protein families: genetic information processing	Cre17.g747397
1292	1292	K06942	9182	Protein families: genetic information processing	Cre17.g714550
1293	1293	K12382	9141	Transport and catabolism	Cre17.g714500
1294	1294	K12382	9183	Protein families: signaling and cellular processes	Cre17.g714650
1295	1295	K06639	9143	Cell growth and death	Cre17.g714600
1296	1296	K06639	4111	Cell cycle - yeast	Cre13.g581750
1297	1297	K06639	4113	Meiosis - yeast	Cre06.g268750
1298	1298	K06639	9181	Protein families: metabolism	Cre06.g269350
1299	1299	K01438	9105	Amino acid metabolism	Cre06.g269450
1300	1300	K08869	9181	Protein families: metabolism	Cre06.g269550
1301	1301	K01049	9103	Lipid metabolism	Cre06.g269950
1302	1302	K01049	9156	Nervous system	Cre10.g444700
1303	1303	K01049	9183	Protein families: signaling and cellular processes	Cre10.g439050
1304	1304	K12734	9182	Protein families: genetic information processing	Cre06.g270200
1305	1305	K12734	3110	Chaperones and folding catalysts	Cre06.g270250
1306	1306	K09775	9194	Poorly characterized	Cre06.g307150
1307	1307	K00679	9103	Lipid metabolism	Cre06.g270650
1308	1308	K07766	9191	Unclassified: metabolism	Cre06.g270850
1309	1309	K12839	9121	Transcription	Cre06.g270900
1310	1310	K12839	9182	Protein families: genetic information processing	Cre06.g271050
1311	1311	K02966	9122	Translation	Cre10.g465900
1312	1312	K02966	9182	Protein families: genetic information processing	Cre17.g714650
1313	1313	K13412	9159	Environmental adaptation	Cre17.g714600
1314	1314	K13412	9174	Infectious diseases: Parasitic	Cre17.g714500
1315	1315	K13412	9181	Protein families: metabolism	Cre10.g438100
1316	1316	K02206	9132	Signal transduction	Cre10.g421650
1317	1317	K02206	4151	PI3K-Akt signaling pathway	Cre06.g272050
1318	1318	K02206	9143	Cell growth and death	Cre06.g272100
1319	1319	K02206	4114	Oocyte meiosis	Cre06.g272150
1320	1320	K02206	4115	p53 signaling pathway	Cre16.g687900
1321	1321	K02206	4218	Cellular senescence	Cre06.g272800
1322	1322	K02206	9152	Endocrine system	Cre06.g272850
1323	1323	K02206	9161	Cancers: Overview	Cre06.g272950
1324	1324	K02206	5203	Viral carcinogenesis	Cre06.g273000
1325	1325	K02206	9162	Cancers: Specific types	Cre06.g273200
1326	1326	K02206	5215	Prostate cancer	Cre06.g273250
1327	1327	K02206	5222	Small cell lung cancer	Cre10.g421600
1328	1328	K02206	9167	Endocrine and metabolic diseases	Cre06.g273413
1329	1329	K02206	9172	Infectious diseases: Viral	Cre06.g273500
1330	1330	K02206	5162	Measles	Cre12.g491400
1331	1331	K02206	5161	Hepatitis B	Cre06.g287000
1332	1332	K02206	5160	Hepatitis C	Cre06.g273750
1333	1333	K02206	5168	Herpes simplex infection	Cre17.g714550
1334	1334	K02206	5169	Epstein-Barr virus infection	Cre17.g714500
1335	1335	K02206	5165	Human papillomavirus infection	Cre17.g714600
1336	1336	K02206	9181	Protein families: metabolism	Cre17.g714650
1337	1337	K02206	9182	Protein families: genetic information processing	Cre17.g714650
1338	1338	K02206	3036	Chromosome and associated proteins	Cre17.g714600
1339	1339	K10408	9164	Neurodegenerative diseases	Cre17.g714500
1340	1340	K10408	9183	Protein families: signaling and cellular processes	Cre17.g714550
1341	1341	K01714	9105	Amino acid metabolism	Cre17.g714600
1342	1342	K01714	9110	Biosynthesis of other secondary metabolites	Cre17.g714650
1343	1343	K10408	9164	Neurodegenerative diseases	Cre06.g274400
1344	1344	K10408	9183	Protein families: signaling and cellular processes	Cre06.g274500
1345	1345	K00958	9102	Energy metabolism	Cre09.g409050
1346	1346	K00958	9104	Nucleotide metabolism	Cre17.g714550
1347	1347	K00958	9106	Metabolism of other amino acids	Cre17.g714500
1348	1348	K00958	9110	Biosynthesis of other secondary metabolites	Cre17.g714650
1349	1349	K16190	9101	Carbohydrate metabolism	Cre17.g714600
1350	1350	K16190	53	Ascorbate and aldarate metabolism	Cre06.g274950
1351	1351	K16190	520	Amino sugar and nucleotide sugar metabolism	Cre10.g421650
1352	1352	K08857	9181	Protein families: metabolism	Cre07.g315050
1353	1353	K08857	9182	Protein families: genetic information processing	Cre06.g275100
1354	1354	K08857	3400	DNA repair and recombination proteins	Cre06.g275650
1355	1355	K06685	9132	Signal transduction	Cre17.g714600
1356	1356	K06685	4391	Hippo signaling pathway - fly	Cre17.g714650
1357	1357	K06685	4392	Hippo signaling pathway - multiple species	Cre17.g714550
1358	1358	K06685	9143	Cell growth and death	Cre17.g714500
1359	1359	K16315	9181	Protein families: metabolism	Cre13.g567450
1360	1360	K16315	9182	Protein families: genetic information processing	Cre17.g714500
1361	1361	K12668	9107	Glycan biosynthesis and metabolism	Cre17.g714550
1362	1362	K12668	513	Various types of N-glycan biosynthesis	Cre17.g714650
1363	1363	K12668	9123	Folding, sorting and degradation	Cre17.g714600
1364	1364	K03627	9192	Unclassified: genetic information processing	Cre06.g276700
1365	1365	K02879	9122	Translation	Cre17.g714600
1366	1366	K02879	9182	Protein families: genetic information processing	Cre17.g714650
1367	1367	K06941	9182	Protein families: genetic information processing	Cre17.g714550
1368	1368	K12524	9105	Amino acid metabolism	Cre17.g714500
1369	1369	K12524	270	Cysteine and methionine metabolism	Cre10.g446700
1370	1370	K12524	300	Lysine biosynthesis	Cre06.g277050
1371	1371	K12524	9110	Biosynthesis of other secondary metabolites	Cre06.g277200
1372	1372	K01092	9101	Carbohydrate metabolism	Cre16.g673150
1373	1373	K01092	9110	Biosynthesis of other secondary metabolites	Cre10.g433550
1374	1374	K01092	9132	Signal transduction	Cre17.g714500
1375	1375	K03859	9107	Glycan biosynthesis and metabolism	Cre06.g278097
1376	1376	K02183	9132	Signal transduction	Cre06.g278101
1377	1377	K02183	4015	Rap1 signaling pathway	Cre06.g278135
1378	1378	K02183	4016	MAPK signaling pathway - plant	Cre06.g278136
1379	1379	K02183	4371	Apelin signaling pathway	Cre11.g482900
1380	1380	K02183	4020	Calcium signaling pathway	Cre06.g278142
1381	1381	K02183	4070	Phosphatidylinositol signaling system	Cre06.g278143
1382	1382	K02183	4024	cAMP signaling pathway	Cre11.g467617
1383	1383	K02183	4022	cGMP-PKG signaling pathway	Cre06.g278151
1384	1384	K02183	9143	Cell growth and death	Cre06.g278163
1385	1385	K02183	4218	Cellular senescence	Cre06.g278172
1386	1386	K02183	9151	Immune system	Cre06.g278175
1387	1387	K02183	9152	Endocrine system	Cre12.g532450
1388	1388	K02183	4922	Glucagon signaling pathway	Cre06.g278187
1389	1389	K02183	4912	GnRH signaling pathway	Cre06.g278188
1390	1390	K02183	4915	Estrogen signaling pathway	Cre06.g278197
1391	1391	K02183	4921	Oxytocin signaling pathway	Cre06.g278198
1392	1392	K02183	4916	Melanogenesis	Cre06.g278202
1393	1393	K02183	4924	Renin secretion	Cre06.g278210
1394	1394	K02183	4925	Aldosterone synthesis and secretion	Cre10.g425900
1395	1395	K02183	9153	Circulatory system	Cre16.g686200
1396	1396	K02183	4270	Vascular smooth muscle contraction	Cre06.g278222
1397	1397	K02183	9154	Digestive system	Cre06.g278224
1398	1398	K02183	4971	Gastric acid secretion	Cre14.g623800
1399	1399	K02183	9156	Nervous system	Cre17.g735550
1400	1400	K02183	4720	Long-term potentiation	Cre06.g278239
1401	1401	K02183	4722	Neurotrophin signaling pathway	Cre06.g278251
1402	1402	K02183	9157	Sensory system	Cre06.g278254
1403	1403	K02183	4745	Phototransduction - fly	Cre06.g278256
1404	1404	K02183	4740	Olfactory transduction	Cre06.g278269
1405	1405	K02183	4750	Inflammatory mediator regulation of TRP channels	Cre06.g278350
1406	1406	K02183	9159	Environmental adaptation	Cre06.g278451
1407	1407	K02183	4626	Plant-pathogen interaction	Cre06.g278500
1408	1408	K02183	9161	Cancers: Overview	Cre15.g641200
1409	1409	K02183	9162	Cancers: Specific types	Cre16.g683750
1410	1410	K02183	9164	Neurodegenerative diseases	Cre12.g531100
1411	1411	K02183	9165	Substance dependence	Cre06.g279100
1412	1412	K02183	5034	Alcoholism	Cre09.g390986
1413	1413	K02183	9166	Cardiovascular diseases	Cre06.g279250
1414	1414	K02183	9171	Infectious diseases: Bacterial	Cre06.g279300
1415	1415	K02183	5152	Tuberculosis	Cre06.g279400
1416	1416	K02183	9172	Infectious diseases: Viral	Cre16.g652100
1417	1417	K02183	5163	Human cytomegalovirus infection	Cre06.g279900
1418	1418	K02183	5167	Kaposi sarcoma-associated herpesvirus infection	Cre06.g280050
1419	1419	K02183	9181	Protein families: metabolism	Cre06.g280100
1420	1420	K02183	9182	Protein families: genetic information processing	Cre06.g280300
1421	1421	K02183	3036	Chromosome and associated proteins	Cre06.g280550
1422	1422	K02183	9183	Protein families: signaling and cellular processes	Cre06.g280800
1423	1423	K14172	9102	Energy metabolism	Cre06.g280850
1424	1424	K14172	9181	Protein families: metabolism	Cre06.g280900
1425	1425	K02575	9102	Energy metabolism	Cre12.g533550
1426	1426	K02575	9183	Protein families: signaling and cellular processes	Cre07.g326450
1427	1427	K04427	9132	Signal transduction	Cre06.g281200
1428	1428	K04427	4013	MAPK signaling pathway - fly	Cre06.g281350
1429	1429	K04427	4310	Wnt signaling pathway	Cre06.g281750
1430	1430	K04427	4064	NF-kappa B signaling pathway	Cre06.g282200
1431	1431	K04427	4668	TNF signaling pathway	Cre06.g282500
1432	1432	K04427	4152	AMPK signaling pathway	Cre06.g282600
1433	1433	K04427	9141	Transport and catabolism	Cre06.g282900
1434	1434	K04427	9143	Cell growth and death	Cre08.g367500
1435	1435	K04427	9144	Cellular community - eukaryotes	Cre06.g283350
1436	1436	K04427	9151	Immune system	Cre06.g283550
1437	1437	K04427	4624	Toll and Imd signaling pathway	Cre06.g283750
1438	1438	K04427	4621	NOD-like receptor signaling pathway	Cre06.g285250
1439	1439	K04427	4622	RIG-I-like receptor signaling pathway	Cre06.g284050
1440	1440	K04427	4660	T cell receptor signaling pathway	Cre06.g284150
1441	1441	K04427	4657	IL-17 signaling pathway	Cre06.g284150
1442	1442	K04427	9158	Development	Cre06.g285250
1443	1443	K04427	9166	Cardiovascular diseases	Cre06.g285250
1444	1444	K04427	9172	Infectious diseases: Viral	Cre06.g284350
1445	1445	K04427	5162	Measles	Cre06.g284400
1446	1446	K04427	5168	Herpes simplex infection	Cre06.g284450
1447	1447	K04427	5169	Epstein-Barr virus infection	Cre06.g284500
1448	1448	K04427	9174	Infectious diseases: Parasitic	Cre06.g284700
1449	1449	K04427	5140	Leishmaniasis	Cre06.g284750
1450	1450	K04427	9181	Protein families: metabolism	Cre06.g284800
1451	1451	K08824	9181	Protein families: metabolism	Cre06.g284850
1452	1452	K03320	9183	Protein families: signaling and cellular processes	Cre12.g530300
1453	1453	K14997	9183	Protein families: signaling and cellular processes	Cre06.g285150
1454	1454	K08582	9181	Protein families: metabolism	Cre06.g285200
1455	1455	K08582	9181	Protein families: metabolism	Cre06.g285250
1456	1456	K08850	9181	Protein families: metabolism	Cre06.g285300
1457	1457	K08850	9182	Protein families: genetic information processing	Cre08.g378700
1458	1458	K12310	9191	Unclassified: metabolism	Cre06.g286050
1459	1459	K08850	9181	Protein families: metabolism	Cre16.g688000
1460	1460	K08850	9182	Protein families: genetic information processing	Cre10.g461750
1461	1461	K06126	9108	Metabolism of cofactors and vitamins	Cre06.g286800
1462	1462	K15356	9183	Protein families: signaling and cellular processes	Cre06.g287000
1463	1463	K01915	9101	Carbohydrate metabolism	Cre17.g723300
1464	1464	K01915	9102	Energy metabolism	Cre17.g723300
1465	1465	K01915	9105	Amino acid metabolism	Cre06.g287950
1466	1466	K01915	220	Arginine biosynthesis	Cre06.g287950
1467	1467	K01915	9132	Signal transduction	Cre06.g295600
1468	1468	K01915	9143	Cell growth and death	Cre06.g288700
1469	1469	K01915	9156	Nervous system	Cre06.g288750
1470	1470	K01915	4727	GABAergic synapse	Cre06.g289150
1471	1471	K01915	9183	Protein families: signaling and cellular processes	Cre06.g289550
1472	1472	K08850	9181	Protein families: metabolism	Cre10.g466200
1473	1473	K08850	9182	Protein families: genetic information processing	Cre10.g444700
1474	1474	K01749	9108	Metabolism of cofactors and vitamins	Cre06.g289950
1475	1475	K08815	9181	Protein families: metabolism	Cre06.g290000
1476	1476	K01661	9108	Metabolism of cofactors and vitamins	Cre06.g290100
1477	1477	K03644	9108	Metabolism of cofactors and vitamins	Cre06.g290500
1478	1478	K15731	9181	Protein families: metabolism	Cre06.g290800
1479	1479	K15731	9182	Protein families: genetic information processing	Cre06.g290950
1480	1480	K03386	9143	Cell growth and death	Cre12.g540200
1481	1481	K03386	9183	Protein families: signaling and cellular processes	Cre07.g328450
1482	1482	K13412	9159	Environmental adaptation	Cre06.g291600
1483	1483	K13412	9174	Infectious diseases: Parasitic	Cre06.g291800
1484	1484	K13412	9181	Protein families: metabolism	Cre06.g292550
1485	1485	K13348	9141	Transport and catabolism	Cre07.g357550
1486	1486	K02900	9122	Translation	Cre12.g499500
1487	1487	K02900	9182	Protein families: genetic information processing	Cre16.g693700
1488	1488	K16482	9182	Protein families: genetic information processing	Cre06.g292950
1489	1489	K01623	9101	Carbohydrate metabolism	Cre06.g293000
1490	1490	K01623	30	Pentose phosphate pathway	Cre14.g629920
1491	1491	K01623	51	Fructose and mannose metabolism	Cre06.g293250
1492	1492	K01623	9102	Energy metabolism	Cre13.g578451
1493	1493	K01623	680	Methane metabolism	Cre06.g293700
1494	1494	K01623	9182	Protein families: genetic information processing	Cre16.g664550
1495	1495	K01623	3036	Chromosome and associated proteins	Cre06.g294000
1496	1496	K01623	9183	Protein families: signaling and cellular processes	Cre06.g294400
1497	1497	K15171	9182	Protein families: genetic information processing	Cre06.g294650
1498	1498	K15171	3019	Messenger RNA biogenesis	Cre06.g294750
1499	1499	K01783	9101	Carbohydrate metabolism	Cre12.g515450
1500	1500	K01783	40	Pentose and glucuronate interconversions	Cre06.g294950
1501	1501	K01783	9102	Energy metabolism	Cre06.g295250
1502	1502	K09645	9181	Protein families: metabolism	Cre17.g747797
1503	1503	K02132	9102	Energy metabolism	Cre06.g295450
1504	1504	K02132	9159	Environmental adaptation	Cre06.g295600
1505	1505	K02132	9164	Neurodegenerative diseases	Cre06.g295700
1506	1506	K02132	5012	Parkinson disease	Cre06.g296000
1507	1507	K02132	5016	Huntington disease	Cre45.g760847
1508	1508	K17426	9182	Protein families: genetic information processing	Cre19.g750597
1509	1509	K16599	9183	Protein families: signaling and cellular processes	Cre06.g296250
1510	1510	K00844	9101	Carbohydrate metabolism	Cre06.g296400
1511	1511	K00844	51	Fructose and mannose metabolism	Cre06.g298550
1512	1512	K00844	52	Galactose metabolism	Cre06.g296600
1513	1513	K00844	500	Starch and sucrose metabolism	Cre16.g677700
1514	1514	K00844	520	Amino sugar and nucleotide sugar metabolism	Cre06.g296983
1515	1515	K00844	9110	Biosynthesis of other secondary metabolites	Cre06.g297016
1516	1516	K00844	524	Neomycin, kanamycin and gentamicin biosynthesis	Cre06.g297550
1517	1517	K00844	9132	Signal transduction	Cre06.g297650
1518	1518	K00844	9152	Endocrine system	Cre06.g297750
1519	1519	K00844	9154	Digestive system	Cre16.g685450
1520	1520	K00844	9161	Cancers: Overview	Cre16.g683750
1521	1521	K00844	9167	Endocrine and metabolic diseases	Cre06.g297904
1522	1522	K00844	9182	Protein families: genetic information processing	Cre06.g298100
1523	1523	K06694	9182	Protein families: genetic information processing	Cre06.g298550
1524	1524	K11835	9181	Protein families: metabolism	Cre06.g298650
1525	1525	K11835	9182	Protein families: genetic information processing	Cre09.g386912
1526	1526	K12598	9123	Folding, sorting and degradation	Cre06.g299300
1527	1527	K12598	9182	Protein families: genetic information processing	Cre13.g573950
1528	1528	K12598	3041	Spliceosome	Cre16.g682900
1529	1529	K12598	3009	Ribosome biogenesis	Cre13.g566650
1530	1530	K12598	3016	Transfer RNA biogenesis	Cre13.g580550
1531	1531	K15223	9182	Protein families: genetic information processing	Cre06.g300100
1532	1532	K16911	9182	Protein families: genetic information processing	Cre06.g300250
1533	1533	K16911	3036	Chromosome and associated proteins	Cre06.g300750
1534	1534	K17302	9182	Protein families: genetic information processing	Cre06.g300800
1535	1535	K17302	9183	Protein families: signaling and cellular processes	Cre06.g300900
1536	1536	K03531	9143	Cell growth and death	Cre06.g301050
1537	1537	K03531	9182	Protein families: genetic information processing	Cre06.g301600
1538	1538	K03531	9183	Protein families: signaling and cellular processes	Cre13.g574900
1539	1539	K03531	2048	Prokaryotic defense system	Cre06.g302750
1540	1540	K08762	9152	Endocrine system	Cre17.g700166
1541	1541	K13337	9141	Transport and catabolism	Cre06.g303400
1542	1542	K15889	9109	Metabolism of terpenoids and polyketides	Cre06.g303500
1543	1543	K15889	9109	Metabolism of terpenoids and polyketides	Cre06.g303650
1544	1544	K15445	9182	Protein families: genetic information processing	Cre06.g303900
1545	1545	K01613	9103	Lipid metabolism	Cre13.g603400
1546	1546	K08568	9141	Transport and catabolism	Cre06.g304100
1547	1547	K08568	9143	Cell growth and death	Cre06.g304300
1548	1548	K08568	9181	Protein families: metabolism	Cre06.g304350
1549	1549	K01602	9101	Carbohydrate metabolism	Cre06.g304550
1550	1550	K01602	9102	Energy metabolism	Cre06.g304650
1551	1551	K01602	9101	Carbohydrate metabolism	Cre06.g307350
1552	1552	K01602	9102	Energy metabolism	Cre17.g700950
1553	1553	K11592	9161	Cancers: Overview	Cre06.g306400
1554	1554	K11592	9182	Protein families: genetic information processing	Cre06.g306550
1555	1555	K11593	9182	Protein families: genetic information processing	Cre06.g306601
1556	1556	K11593	3036	Chromosome and associated proteins	Cre06.g306750
1557	1557	K00767	9108	Metabolism of cofactors and vitamins	Cre06.g306800
1558	1558	K14497	9132	Signal transduction	Cre06.g306850
1559	1559	K14497	4075	Plant hormone signal transduction	Cre06.g307150
1560	1560	K14497	9167	Endocrine and metabolic diseases	Cre09.g394800
1561	1561	K01610	9101	Carbohydrate metabolism	Cre06.g307350
1562	1562	K01610	20	Citrate cycle (TCA cycle)\n	Cre12.g504000
1563	1563	K01610	620	Pyruvate metabolism	Cre06.g307450
1564	1564	K01610	9102	Energy metabolism	Cre06.g307600
1565	1565	K10688	9123	Folding, sorting and degradation	Cre06.g308200
1566	1566	K10688	9182	Protein families: genetic information processing	Cre06.g308200
1567	1567	K18460	9192	Unclassified: genetic information processing	Cre06.g308250
1568	1568	K10408	9164	Neurodegenerative diseases	Cre06.g308350
1569	1569	K10408	9183	Protein families: signaling and cellular processes	Cre06.g308400
1570	1570	K11438	9182	Protein families: genetic information processing	Cre06.g308500
1571	1571	K03595	9182	Protein families: genetic information processing	Cre06.g308533
1572	1572	K03595	3029	Mitochondrial biogenesis	Cre06.g308850
1573	1573	K10872	9143	Cell growth and death	Cre09.g388097
1574	1574	K10872	9182	Protein families: genetic information processing	Cre06.g309050
1575	1575	K10577	9122	Translation	Cre17.g741450
1576	1576	K10577	9123	Folding, sorting and degradation	Cre06.g309150
1577	1577	K10577	9132	Signal transduction	Cre06.g309350
